subject_id,session_id,domain,position,word,language_type,rt_ms,x,y,Hi_Read,Hi_Write,hi_confidence,language_count,age
10255,1qmxoH7jT7VECeLUVEKU,colours,1,red,English,2558.3,0.076445530190819,1.0038699504925308,4.0,4.0,4.0,3.0,27.0
10255,1qmxoH7jT7VECeLUVEKU,colours,2,blue,English,1464.6,0.080923444712743,0.5402476589538197,4.0,4.0,4.0,3.0,27.0
10255,1qmxoH7jT7VECeLUVEKU,colours,3,green,English,1505.6,0.0749530039925228,0.0971120332382064,4.0,4.0,4.0,3.0,27.0
10255,1qmxoH7jT7VECeLUVEKU,colours,4,indigo,English,1894.6,0.1253551907627162,0.5344427055348484,4.0,4.0,4.0,3.0,27.0
10255,1qmxoH7jT7VECeLUVEKU,colours,5,orange,English,1583.3,0.1193288823623124,1.0038699504925308,4.0,4.0,4.0,3.0,27.0
10255,1qmxoH7jT7VECeLUVEKU,colours,6,purple,English,2164.2,0.097559972826525,0.9195046747109806,4.0,4.0,4.0,3.0,27.0
10255,1qmxoH7jT7VECeLUVEKU,colours,7,white,English,8238.4,1.0016617751963677,0.0030959574414727,4.0,4.0,4.0,3.0,27.0
10255,1qmxoH7jT7VECeLUVEKU,colours,8,black,English,1646.3,1.000942273514247,1.0038699504925308,4.0,4.0,4.0,3.0,27.0
10255,1qmxoH7jT7VECeLUVEKU,colours,9,pink,English,3509.2,0.1771109429183239,0.934984550494904,4.0,4.0,4.0,3.0,27.0
10255,1qmxoH7jT7VECeLUVEKU,colours,10,saffron,English,2492.4,0.0191983338614523,0.9272446126029424,4.0,4.0,4.0,3.0,27.0
10255,1qmxoH7jT7VECeLUVEKU,colours,11,violet,English,3133.6,0.1904742411300788,0.5286377521158772,4.0,4.0,4.0,3.0,27.0
10255,1qmxoH7jT7VECeLUVEKU,colours,12,silver,English,4323.4,0.9320738260753992,0.0293875766835419,4.0,4.0,4.0,3.0,27.0
10255,1qmxoH7jT7VECeLUVEKU,colours,13,gray,English,7860.0,0.8539682991291814,0.048737421413446,4.0,4.0,4.0,3.0,27.0
10255,1qmxoH7jT7VECeLUVEKU,colours,14,brown,English,7736.0,0.9050938123819828,0.9969040536305972,4.0,4.0,4.0,3.0,27.0
10255,1qmxoH7jT7VECeLUVEKU,animals,1,lion,English,3114.2,0.6126797041191738,1.0038699504925308,4.0,4.0,4.0,3.0,27.0
10255,1qmxoH7jT7VECeLUVEKU,animals,2,tiger,English,1989.2,0.6432661480427884,1.0038699504925308,4.0,4.0,4.0,3.0,27.0
10255,1qmxoH7jT7VECeLUVEKU,animals,3,giraffe,English,2666.4,0.6983191904656382,0.712050104659664,4.0,4.0,4.0,3.0,27.0
10255,1qmxoH7jT7VECeLUVEKU,animals,4,leopard,English,3306.2,0.6850782945901784,1.0038699504925308,4.0,4.0,4.0,3.0,27.0
10255,1qmxoH7jT7VECeLUVEKU,animals,5,dolphin,English,2273.4,1.0011849195815137,0.0030959574414727,4.0,4.0,4.0,3.0,27.0
10255,1qmxoH7jT7VECeLUVEKU,animals,6,whale,English,1772.4,1.0014908032878072,0.0684258648057075,4.0,4.0,4.0,3.0,27.0
10255,1qmxoH7jT7VECeLUVEKU,animals,7,shark,English,2051.6,1.0010876040019114,0.1350135593182181,4.0,4.0,4.0,3.0,27.0
10255,1qmxoH7jT7VECeLUVEKU,animals,8,crocodile,English,2892.9,0.8886567987500069,0.213573881680797,4.0,4.0,4.0,3.0,27.0
10255,1qmxoH7jT7VECeLUVEKU,animals,9,sparrow,English,2714.4,0.2783463337968492,0.0030959574414727,4.0,4.0,4.0,3.0,27.0
10255,1qmxoH7jT7VECeLUVEKU,animals,10,crow,English,1414.1,0.416291831659915,0.0557033478008996,4.0,4.0,4.0,3.0,27.0
10255,1qmxoH7jT7VECeLUVEKU,animals,11,parrot,English,3190.8,0.2982226660604006,0.0498742129811199,4.0,4.0,4.0,3.0,27.0
10255,1qmxoH7jT7VECeLUVEKU,animals,12,pigeon,English,2531.8,0.3627625730079828,0.0498742129811199,4.0,4.0,4.0,3.0,27.0
10255,1qmxoH7jT7VECeLUVEKU,animals,13,owl,English,914.7,0.4116638272395646,0.0030959574414727,4.0,4.0,4.0,3.0,27.0
10255,1qmxoH7jT7VECeLUVEKU,animals,14,eagle,English,1957.4,0.3535150933348758,0.0042327785346665,4.0,4.0,4.0,3.0,27.0
10255,1qmxoH7jT7VECeLUVEKU,animals,15,cow,English,1012.9,0.3287169506845092,0.6130030869484672,4.0,4.0,4.0,3.0,27.0
10255,1qmxoH7jT7VECeLUVEKU,animals,16,buffalo,English,2745.3,0.3389364587459254,0.6922890284884176,4.0,4.0,4.0,3.0,27.0
10255,1qmxoH7jT7VECeLUVEKU,animals,17,goat,English,1785.4,0.2968342127399522,0.6130030869484672,4.0,4.0,4.0,3.0,27.0
10255,1qmxoH7jT7VECeLUVEKU,animals,18,sheep,English,2561.4,0.2772358818818625,0.6865324969221029,4.0,4.0,4.0,3.0,27.0
10255,1qmxoH7jT7VECeLUVEKU,animals,19,zebra,English,3716.8,0.6993903440963122,0.5975232111645439,4.0,4.0,4.0,3.0,27.0
10255,1qmxoH7jT7VECeLUVEKU,animals,20,horse,English,2300.9,0.3112252321504795,0.5355553452272338,4.0,4.0,4.0,3.0,27.0
10255,1qmxoH7jT7VECeLUVEKU,animals,21,ox,English,2156.5,0.3050094953209249,0.6826625279761221,4.0,4.0,4.0,3.0,27.0
10255,1qmxoH7jT7VECeLUVEKU,foods,1,lays,Hindi/Hinglish,5604.1,0.0985846793584505,0.7589009634527764,4.0,4.0,4.0,3.0,27.0
10255,1qmxoH7jT7VECeLUVEKU,foods,2,dal,Hindi/Hinglish,1417.6,0.3476676297971592,0.1629014757943606,4.0,4.0,4.0,3.0,27.0
10255,1qmxoH7jT7VECeLUVEKU,foods,3,rice,English,3596.7,0.3471548136686969,0.2151460565651017,4.0,4.0,4.0,3.0,27.0
10255,1qmxoH7jT7VECeLUVEKU,foods,4,dosa,Hindi/Hinglish,1226.5,0.4507134672319782,0.2964154044306992,4.0,4.0,4.0,3.0,27.0
10255,1qmxoH7jT7VECeLUVEKU,foods,5,idli,Hindi/Hinglish,1419.3,0.450282366194249,0.25384574602491,4.0,4.0,4.0,3.0,27.0
